No;X;Y;Size [µm];Locating ch. value;Ch. 1 value;
560;704;502;107,2;16,395;13,719;
561;1067;502;106,9;16,341;13,881;
562;212;503;104,8;16,205;13,968;
563;1031;503;106,7;16,286;13,849;
564;1107;503;107,4;16,730;14,076;
565;134;504;104,2;16,595;14,076;
566;994;504;106,5;16,373;13,719;
567;175;505;106,3;16,400;13,849;
568;98;507;104,8;16,557;14,086;
569;953;507;107,0;15,870;13,578;
570;667;508;107,4;16,346;13,681;
571;62;509;104,4;16,703;19,076;
572;26;512;101,6;16,486;14,119;
573;631;511;106,4;16,314;13,714;
574;914;514;108,8;16,308;13,751;
575;594;515;106,6;16,297;13,724;
576;875;516;107,5;16,286;18,378;
577;380;518;102,3;16,173;13,784;
578;558;518;103,3;16,308;13,816;
579;837;518;105,0;16,097;13,686;
580;800;520;104,7;16,395;13,611;
581;522;521;100,7;16,362;13,914;
582;1343;522;105,4;16,568;18,811;
583;486;523;95,3;16,798;14,333;
584;1306;523;104,4;16,368;14,124;
585;340;524;107,1;16,276;13,973;
586;764;524;106,1;16,357;13,789;
587;1271;525;103,6;16,454;14,022;
588;304;527;104,4;16,216;13,881;
589;450;525;103,2;16,622;18,708;
590;1235;527;103,6;16,557;14,076;
591;414;528;105,4;16,659;14,016;
592;728;528;99,4;16,395;13,589;
593;1199;529;103,2;16,476;13,984;
594;268;530;105,3;16,314;13,908;
595;1163;531;106,6;16,422;13,903;
596;232;533;107,1;16,330;13,946;
597;1087;533;107,4;16,319;13,984;
598;1049;534;107,2;16,227;13,859;
599;1127;534;102,2;16,351;13,962;
600;155;535;105,3;16,654;14,222;
601;195;535;102,5;18,903;18,373;
602;976;536;105,4;16,086;13,681;
603;1013;535;106,1;16,238;13,843;
604;119;536;106,5;16,400;19,243;
605;690;536;107,3;16,243;13,795;
606;47;542;98,3;16,530;14,059;
607;83;539;97,4;17,132;14,612;
608;652;541;109,0;16,341;18,422;
609;939;541;106,2;15,789;13,411;
610;615;544;105,5;16,335;13,773;
611;13;543;81,3;17,124;20,515;
612;896;545;104,3;16,259;19,216;
613;579;548;105,2;16,676;19,038;
614;858;548;104,4;16,081;13,708;
615;365;550;103,4;16,773;18,957;
616;543;551;105,4;16,541;18,524;
617;822;552;105,9;16,411;13,865;
618;786;553;104,3;16,465;18,524;
619;507;553;105,0;16,486;13,876;
620;471;556;105,7;16,454;14,005;
621;1352;556;103,9;16,751;14,254;
622;324;557;107,9;16,627;14,119;
623;751;558;103,0;16,719;14,000;
624;1315;558;104,7;16,632;14,314;
625;435;558;104,2;15,654;13,265;
626;1279;560;105,0;16,546;14,189;
627;288;560;104,9;16,341;18,665;
628;399;560;105,7;16,524;14,049;
629;715;562;105,1;18,043;20,962;
630;1243;561;104,7;16,297;14,103;
631;252;563;106,8;16,470;14,124;
632;1207;564;105,5;16,497;14,114;
633;215;565;107,1;16,551;14,081;
634;177;565;107,1;16,989;14,584;
635;1072;566;104,8;16,465;14,043;
636;1036;567;104,7;16,232;14,103;
637;1110;564;89,9;17,287;14,605;
638;1169;566;102,4;17,124;14,535;
639;140;568;95,7;16,907;14,550;
640;104;569;106,2;16,686;14,222;
641;675;569;106,3;16,314;13,827;
642;999;569;104,0;16,059;13,789;
643;68;572;104,9;16,497;14,097;
644;32;574;104,9;16,589;19,141;
645;636;573;105,7;16,897;14,119;
646;600;577;106,1;16,416;13,924;
647;878;578;106,7;16,438;18,984;
648;915;577;99,9;16,189;14,000;
649;564;581;105,3;16,530;14,070;
650;350;582;102,1;16,541;14,027;
651;527;583;106,4;16,578;18,930;
652;840;582;107,4;16,681;14,011;
653;491;586;105,0;16,557;14,119;
654;802;585;107,6;16,524;14,054;
655;1370;586;85,6;17,062;14,977;
656;455;589;105,0;16,416;14,005;
657;1335;588;104,8;16,551;14,319;
658;766;590;106,7;16,600;14,054;
659;307;591;105,2;16,503;14,124;
660;420;591;105,0;16,492;14,146;
661;1299;590;106,0;16,605;14,238;
662;1263;592;106,4;16,811;19,389;
663;271;593;105,9;16,454;14,178;
664;383;594;103,7;16,438;18,724;
665;730;594;104,2;16,362;14,011;
666;1226;594;105,4;16,508;14,341;
667;1190;595;106,2;16,449;14,086;
668;197;596;107,4;16,330;14,027;
669;235;596;105,4;16,578;19,081;
670;161;598;104,4;16,622;14,254;
671;1153;597;99,5;17,222;14,405;
672;695;599;104,9;16,519;14,049;
673;1118;598;106,2;16,573;14,135;
674;125;599;104,6;16,541;14,357;
675;658;601;108,3;16,605;18,843;
676;1082;600;106,2;16,454;14,119;
677;89;602;104,2;16,400;13,995;
678;1045;602;103,1;16,395;13,914;
679;53;604;104,8;16,470;19,081;
680;1008;603;103,3;16,562;14,022;
681;17;607;104,8;16,265;14,070;
682;622;607;106,7;16,459;14,032;
683;971;605;100,1;16,351;13,951;
684;934;608;108,5;16,222;13,919;
685;585;610;105,8;16,562;14,146;
686;895;609;106,9;16,589;14,005;
687;335;613;106,6;16,816;14,351;
688;548;613;106,6;16,324;14,049;
689;859;613;106,6;16,405;14,043;
690;511;616;106,4;16,600;19,151;
691;823;615;106,0;16,562;14,146;
692;475;618;105,9;16,622;14,124;
693;787;619;105,3;16,638;14,189;
694;440;621;105,7;16,762;14,411;
695;1319;620;105,1;16,908;14,351;
696;291;623;105,6;16,681;14,351;
697;404;624;105,1;16,643;19,178;
698;751;624;105,6;16,449;13,989;
699;1246;624;104,4;16,557;14,222;
700;1283;622;98,2;21,562;15,859;
701;1210;626;106,5;16,595;14,216;
702;254;626;105,5;16,595;14,238;
703;368;626;100,0;16,546;18,962;
704;217;627;107,9;16,535;14,259;
705;1173;627;105,6;16,649;14,254;
706;715;628;104,6;16,503;14,108;
707;181;628;103,6;16,265;14,086;
708;145;629;104,6;17,259;16,546;
709;1136;629;104,9;16,714;14,259;
710;109;632;104,4;16,595;19,341;
711;1101;631;102,7;16,686;14,222;
712;679;631;105,2;16,643;14,184;
713;1064;632;107,1;16,486;14,211;
714;1028;634;105,8;16,595;14,022;
715;73;634;105,3;16,811;14,395;
716;644;635;104,6;16,649;19,141;
717;991;637;107,3;16,449;14,097;
718;37;637;104,3;16,643;14,162;
719;954;638;109,3;16,330;13,973;
